灰姑娘和霸道帥哥課上說悄悄話，灰姑娘問帥哥問題，帥哥直接調戲：你給我吃塊巧克力我再告訴你,1232
為保灰姑娘安全，霸道帥哥不惜槍口對準了自己的腦袋，灰姑娘終於明白他熱烈的愛,1108
灰姑娘被刀子刺入身體，奄奄一息之際，霸道帥哥終於說出了真心話，緊緊握著灰姑娘的手不認放開,944
霸道帥哥為灰姑娘吸毒，背著她走了好久，灰姑娘看到了他的真心，漸漸後悔自己的狠心,897
灰姑娘賴床不起，霸道教官直接一盆水傾瀉而下，把灰姑娘淋成落湯雞，不醒也得醒,896
霸道帥哥成功通過訓練，與灰姑娘這個對視，簡直甜炸了,792
小蘿莉為了好身材也是拼了，竟在衣服裡裝這個，不料被大家全看出來了，哈哈大笑,794
灰姑娘和霸道帥哥訓練場上一較高下，誰也不讓誰，這股子倔勁還真是天生一對,709
灰姑娘和霸道帥哥“雙劍合璧”，完美配合，一舉制服肌肉教官！,724
為愛滾泥潭！浪漫求婚，甜蜜親吻，男神教官成功抱得美人歸,569
灰姑娘當著前夫和現任的面，被疾馳的卡車一下撞倒在地，前夫和現任傻了！,700
老婆忽然肚子疼，關鍵時刻老公卻故意不接電話，結果一回家，老公傻眼了,491
懷孕兒媳突然肚子疼，情況萬分緊急，婆婆直接當起了產婆，在家生孩子！,560
霸道帥哥想和灰姑娘合唱“不要忘記我愛你”，結果灰姑娘要和暖男一起，帥哥好傷心哦,243
大結局前篇：總裁搶婚了！灰姑娘穿著婚紗拋下新郎，跟總裁跑了！,230
总裁不知不觉喜欢上了灰姑娘，暗中悄悄照顾灰姑娘生意，心机女气得牙痒痒,210
灰姑娘化身酷帥女保鏢，一眼看出刷卡機的貓膩，驚呆店員,194
灰姑娘水上騎摩托艇和壞人周旋，最後時刻把壞人給逼上岸，這身手佩服,160
好一招“引蛇出洞”，灰姑娘和霸道帥哥完美配合，成功引出幕後黑手,111
“再不相愛，這輩子就沒機會了”，霸道帥哥化身情話大王，一把將灰姑娘擁入懷中,113
灰姑娘化身美少女戰士，分分鐘撂倒小偷，這身手我是看呆了,109
漂亮姐姐不小心說出大秘密，霸道帥哥終於明白灰姑娘和自己分手的真正原因，瞬間崩潰,113
世紀大和解：漂亮姐姐終於原諒了暖男，兩人甜蜜深吻,99
富家女一见总裁就扑上去献吻，总裁却一把推开她反亲灰姑娘，富家女气得干瞪眼,100
灰姑娘為救神犬狗狗深入虎穴，沒想到狗狗早已靠自己衝破牢籠,91
灰姑娘为总裁人工呼吸，不好，香吻被夺！,92
灰姑娘明明愛著霸道帥哥，卻裝作冷漠傷帥哥的心，帥哥緊緊抓著灰姑娘的手怎麼也不願放開,78
一語驚醒夢中人，男神教官終於知道漂亮姐姐還愛著自己，冰釋前嫌甜蜜親吻，終於永不分離,66
心機女大鬧總裁和灰姑娘的婚禮，當場放出不雅照，說自己有了總裁的孩子，所有人傻眼了！,72
洞房花燭夜，痴傻新郎不會洞房，新娘發明新式洞房法！,112
灰姑娘決定獨自冒險救神犬狗狗，但高冷男神看灰姑娘的表情，意識到不對了,64
姐妹同時出嫁，新娘當場被掉包，灰姑娘從此嫁給了傻子！,68
灰姑娘自不量力PK男神教官，本以為穩贏，沒想到２５秒就被打趴下了,55
灰姑娘化身酷帥女保鏢，不明物體一接近雇主，一個飛腿直接踢飛，太霸氣,52
妻子丈夫久別重逢，丈夫的男人病竟自行治愈，終於與妻子圓了房,78
將軍中了蛇毒，灰姑娘一招化解，沒想到這份好心竟然帶來了福報,57
灰姑娘比賽中突然鞋跟斷裂！從容不迫轉危為安，心機閨蜜計謀失敗暴跳如雷,51
一群帥哥齊刷刷要和灰姑娘PK，灰姑娘到底是何方神聖,46
老公背著老婆跟別的女人睡了一晚，本以為神不知鬼不覺，不料被老婆發現外套上的香水味,54
小帥哥霸道索吻，一把緊緊攬住漂亮小姐姐的腰，小姐姐逃也逃不開，臉都羞紅了,44
灰姑娘装哭卖萌，总裁真的无力抵抗，真的对这小冤家没办法,44
變態丈夫說著話就發病了，一下推倒懷孕妻子，親手害了親生骨肉！,49
灰姑娘和高冷男神臉貼臉這麼近，眼看就親上了，高冷男神瞬間心跳加速，害羞了,42
狗狗真是灰姑娘和高冷男神的紅娘啊，這對歡喜冤家的感情因為它慢慢升溫,43
確認關係啦！灰姑娘為男神喝水暈倒，男神心疼終露真心，最愛是她！,41
少爺不顧富家女錶白，看到灰姑娘淋雨卻心疼萬分，究竟愛誰表現得一清二楚,43
正式交往啦！互道晚安甜蜜告別，灰姑娘激動地語無倫次，霸道帥哥被灰姑娘一抱，激動地都跳起來了,37
灰姑娘被趕出保鏢訓練營，最後擁抱了心愛的霸道帥哥，帥哥不知道自己即將失去最愛的人,39
結婚大典，新郎忽然發瘋離開，撇下新娘獨自撐場，場面一發不可收拾,48
